2023-04-21 20:48:49
Calculation of atomic orbitals for a central potential
Solving Schrodinger eq. by variable sptep-size Numerov method
Green-Sellin-Zachor potential
Z	N	H	D	L	E(a.u.)	  r_max(a.u.)	N. points
6	6	1.25	0.467	0	-0.36	  9.0		300
Normalised radial wavefunction P(r)
 Format r(i), P(i) with r(i)=  0.0001*i^2
 1.000000e-04   2.198037e-04
 4.000000e-04  -1.016310e-03
 9.000000e-04  -3.070059e-03
 1.600000e-03  -5.928115e-03
 2.500000e-03  -9.570869e-03
 3.600000e-03  -1.397290e-02
 4.900000e-03  -1.910328e-02
 6.400000e-03  -2.492584e-02
 8.100000e-03  -3.139953e-02
 1.000000e-02  -3.847875e-02
 1.210000e-02  -4.611368e-02
 1.440000e-02  -5.425075e-02
 1.690000e-02  -6.283302e-02
 1.960000e-02  -7.180063e-02
 2.250000e-02  -8.109127e-02
 2.560000e-02  -9.064063e-02
 2.890000e-02  -1.003829e-01
 3.240000e-02  -1.102512e-01
 3.610000e-02  -1.201782e-01
 4.000000e-02  -1.300962e-01
 4.410000e-02  -1.399382e-01
 4.840000e-02  -1.496379e-01
 5.290000e-02  -1.591300e-01
 5.760000e-02  -1.683510e-01
 6.250000e-02  -1.772396e-01
 6.760000e-02  -1.857364e-01
 7.290000e-02  -1.937852e-01
 7.840000e-02  -2.013323e-01
 8.410000e-02  -2.083276e-01
 9.000000e-02  -2.147242e-01
 9.610000e-02  -2.204789e-01
 1.024000e-01  -2.255525e-01
 1.089000e-01  -2.299094e-01
 1.156000e-01  -2.335183e-01
 1.225000e-01  -2.363520e-01
 1.296000e-01  -2.383871e-01
 1.369000e-01  -2.396047e-01
 1.444000e-01  -2.399898e-01
 1.521000e-01  -2.395314e-01
 1.600000e-01  -2.382227e-01
 1.681000e-01  -2.360603e-01
 1.764000e-01  -2.330450e-01
 1.849000e-01  -2.291810e-01
 1.936000e-01  -2.244759e-01
 2.025000e-01  -2.189407e-01
 2.116000e-01  -2.125893e-01
 2.209000e-01  -2.054386e-01
 2.304000e-01  -1.975082e-01
 2.401000e-01  -1.888202e-01
 2.500000e-01  -1.793989e-01
 2.601000e-01  -1.692708e-01
 2.704000e-01  -1.584640e-01
 2.809000e-01  -1.470087e-01
 2.916000e-01  -1.349360e-01
 3.025000e-01  -1.222786e-01
 3.136000e-01  -1.090701e-01
 3.249000e-01  -9.534494e-02
 3.364000e-01  -8.113826e-02
 3.481000e-01  -6.648565e-02
 3.600000e-01  -5.142299e-02
 3.721000e-01  -3.598634e-02
 3.844000e-01  -2.021174e-02
 3.969000e-01  -4.135069e-03
 4.096000e-01   1.220805e-02
 4.225000e-01   2.878241e-02
 4.356000e-01   4.555331e-02
 4.489000e-01   6.248667e-02
 4.624000e-01   7.954912e-02
 4.761000e-01   9.670807e-02
 4.900000e-01   1.139318e-01
 5.041000e-01   1.311896e-01
 5.184000e-01   1.484515e-01
 5.329000e-01   1.656889e-01
 5.476000e-01   1.828740e-01
 5.625000e-01   1.999802e-01
 5.776000e-01   2.169822e-01
 5.929000e-01   2.338555e-01
 6.084000e-01   2.505770e-01
 6.241000e-01   2.671247e-01
 6.400000e-01   2.834779e-01
 6.561000e-01   2.996167e-01
 6.724000e-01   3.155229e-01
 6.889000e-01   3.311789e-01
 7.056000e-01   3.465685e-01
 7.225000e-01   3.616767e-01
 7.396000e-01   3.764894e-01
 7.569000e-01   3.909935e-01
 7.744000e-01   4.051773e-01
 7.921000e-01   4.190297e-01
 8.100000e-01   4.325407e-01
 8.281000e-01   4.457014e-01
 8.464000e-01   4.585036e-01
 8.649000e-01   4.709402e-01
 8.836000e-01   4.830047e-01
 9.025000e-01   4.946917e-01
 9.216000e-01   5.059962e-01
 9.409000e-01   5.169144e-01
 9.604000e-01   5.274428e-01
 9.801000e-01   5.375788e-01
 1.000000e+00   5.473205e-01
 1.020100e+00   5.566664e-01
 1.040400e+00   5.656158e-01
 1.060900e+00   5.741684e-01
 1.081600e+00   5.823245e-01
 1.102500e+00   5.900849e-01
 1.123600e+00   5.974509e-01
 1.144900e+00   6.044241e-01
 1.166400e+00   6.110067e-01
 1.188100e+00   6.172010e-01
 1.210000e+00   6.230101e-01
 1.232100e+00   6.284370e-01
 1.254400e+00   6.334853e-01
 1.276900e+00   6.381589e-01
 1.299600e+00   6.424618e-01
 1.322500e+00   6.463983e-01
 1.345600e+00   6.499732e-01
 1.368900e+00   6.531911e-01
 1.392400e+00   6.560571e-01
 1.416100e+00   6.585764e-01
 1.440000e+00   6.607545e-01
 1.464100e+00   6.625969e-01
 1.488400e+00   6.641092e-01
 1.512900e+00   6.652974e-01
 1.537600e+00   6.661673e-01
 1.562500e+00   6.667251e-01
 1.587600e+00   6.669770e-01
 1.612900e+00   6.669292e-01
 1.638400e+00   6.665880e-01
 1.664100e+00   6.659599e-01
 1.690000e+00   6.650514e-01
 1.716100e+00   6.638691e-01
 1.742400e+00   6.624194e-01
 1.768900e+00   6.607091e-01
 1.795600e+00   6.587448e-01
 1.822500e+00   6.565331e-01
 1.849600e+00   6.540809e-01
 1.876900e+00   6.513949e-01
 1.904400e+00   6.484817e-01
 1.932100e+00   6.453481e-01
 1.960000e+00   6.420009e-01
 1.988100e+00   6.384467e-01
 2.016400e+00   6.346924e-01
 2.044900e+00   6.307445e-01
 2.073600e+00   6.266098e-01
 2.102500e+00   6.222949e-01
 2.131600e+00   6.178064e-01
 2.160900e+00   6.131509e-01
 2.190400e+00   6.083350e-01
 2.220100e+00   6.033652e-01
 2.250000e+00   5.982479e-01
 2.280100e+00   5.929895e-01
 2.310400e+00   5.875964e-01
 2.340900e+00   5.820749e-01
 2.371600e+00   5.764312e-01
 2.402500e+00   5.706715e-01
 2.433600e+00   5.648019e-01
 2.464900e+00   5.588284e-01
 2.496400e+00   5.527571e-01
 2.528100e+00   5.465938e-01
 2.560000e+00   5.403443e-01
 2.592100e+00   5.340143e-01
 2.624400e+00   5.276096e-01
 2.656900e+00   5.211356e-01
 2.689600e+00   5.145980e-01
 2.722500e+00   5.080020e-01
 2.755600e+00   5.013529e-01
 2.788900e+00   4.946561e-01
 2.822400e+00   4.879165e-01
 2.856100e+00   4.811392e-01
 2.890000e+00   4.743292e-01
 2.924100e+00   4.674912e-01
 2.958400e+00   4.606300e-01
 2.992900e+00   4.537502e-01
 3.027600e+00   4.468562e-01
 3.062500e+00   4.399526e-01
 3.097600e+00   4.330435e-01
 3.132900e+00   4.261333e-01
 3.168400e+00   4.192258e-01
 3.204100e+00   4.123253e-01
 3.240000e+00   4.054354e-01
 3.276100e+00   3.985600e-01
 3.312400e+00   3.917027e-01
 3.348900e+00   3.848670e-01
 3.385600e+00   3.780564e-01
 3.422500e+00   3.712742e-01
 3.459600e+00   3.645235e-01
 3.496900e+00   3.578075e-01
 3.534400e+00   3.511291e-01
 3.572100e+00   3.444912e-01
 3.610000e+00   3.378966e-01
 3.648100e+00   3.313479e-01
 3.686400e+00   3.248476e-01
 3.724900e+00   3.183982e-01
 3.763600e+00   3.120021e-01
